filename,n_heavy_atoms,n_atoms,n_electrons,xyz,xyz_oxidized,u0_b3lyp,u0_g4mp2,zpe_b3lyp,electronic_oxidized_b3lyp,electronic_oxidized_wB97Xd,electronic_oxidized_b3lyp_large,electronic_neutral_b3lyp,electronic_neutral_wB97Xd,electronic_neutral_b3lyp_large,u0_oxidized_b3lyp,u0_oxidized_g4mp2,zpe_oxidized_b3lyp,u0_b3lyp_large,u0_wB97Xd,u0_oxidized_b3lyp_large,u0_oxidized_wB97Xd
dsgdb9nsd_000001,1,5,10,"5
H4 C1
C -0.012698 1.085804 0.008001
H 0.002150 -0.006031 0.001976
H 1.011731 1.463751 0.000277
H -0.540815 1.447527 -0.876644
H -0.523814 1.437933 0.906397","5

C -3.6e-05 0.000157 4.4e-05
H -1.031842 -0.236284 0.376324
H 0.235812 -1.031498 -0.376792
H -0.235642 1.031776 -0.376282
H 1.031891 0.235064 0.376485
",-40.47893,-40.427662,0.044749,-40.060622,-40.05296798,-40.06067427,-40.523679,-40.51835347,-40.5260165,-40.024627,-39.9598369,0.035995,-40.4812675,-40.47360447,-40.02467927,-40.01697298
dsgdb9nsd_000002,1,4,10,"4
H3 N1
N -0.040426 1.024108 0.062564
H 0.017257 0.012545 -0.027377
H 0.915789 1.358745 -0.028758
H -0.520278 1.343532 -0.775543","4

N 0.0 4.8e-05 0.000313
H -0.889576 0.513302 -0.00073
H 0.889588 0.513282 -0.00073
H -1.2e-05 -1.026922 -0.00073
",-56.525887,-56.478971,0.034358,-56.19443,-56.19111704,-56.19458109,-56.560245,-56.56475519,-56.568919,-56.161757,-56.1047504,0.032673,-56.534561,-56.53039719,-56.16190809,-56.15844404
dsgdb9nsd_000003,1,3,10,"3
H2 O1
O -0.034360 0.977540 0.007602
H 0.064766 0.020572 0.001535
H 0.871790 1.300792 0.000693","3

O -0.0 0.115838 -0.0
H 0.824472 -0.463353 -0.0
H -0.824472 -0.463353 0.0
",-76.404702,-76.355852,0.021375,-75.975303,-75.97289376,-75.97588682,-76.426077,-76.43729321,-76.44054227,-75.956721,-75.893134,0.018582,-76.41916727,-76.41591821,-75.95730482,-75.95431176
dsgdb9nsd_000005,2,3,14,"3
H1 C1 N1
C -0.013324 1.132466 0.008276
N 0.002311 -0.019159 0.001929
H -0.027803 2.198949 0.014154","3

C 0.019872 -0.52686 0.0
N 0.019872 0.6723 0.0
H -0.258342 -1.544945 0.0
",-93.411888,-93.312546,0.016601,-92.938513,-92.92317118,-92.93693366,-93.428489,-93.42022814,-93.43435259,-92.925709,-92.8144993,0.012804,-93.41775159,-93.40362714,-92.92412966,-92.91036718
dsgdb9nsd_000006,2,4,16,"4
H2 C1 O1
C -0.013978 1.180211 0.007752
O 0.002314 -0.019664 0.002161
H 0.914960 1.789511 0.003957
H -0.959110 1.764018 0.017183","4

C 0.0 -0.525843 -0.0
O 0.0 0.66622 0.0
H -0.0 -1.08735 -0.969634
H -0.0 -1.08735 0.969634
",-114.483613,-114.37159,0.026603,-114.118908,-114.1083627,-114.1208641,-114.510216,-114.5061653,-114.5198565,-114.094926,-113.9713871,0.023982,-114.4932535,-114.4795623,-114.0968821,-114.0843807
dsgdb9nsd_000007,2,8,18,"8
H6 C2
C -0.018704 1.525582 0.010433
C 0.002104 -0.003882 0.001999
H 0.994873 1.939743 0.002941
H -0.542076 1.923611 -0.865117
H -0.525241 1.914173 0.900024
H 0.525487 -0.401908 0.877544
H -1.011477 -0.418034 0.009508
H 0.508626 -0.392470 -0.887601","8

C 0.717288 -0.06456 0.000114
C -0.717515 0.064346 -0.000101
H 1.147598 -1.063492 -0.000278
H 1.217317 0.615437 -0.769746
H 1.218418 0.615289 0.769002
H -1.216968 -0.614952 0.770374
H -1.147319 1.0635 0.000769
H -1.217684 -0.614497 -0.770197
",-79.764152,-79.661925,0.074542,-79.420553,-79.40565614,-79.42094911,-79.838694,-79.83009155,-79.84187918,-79.357179,-79.2339414,0.063374,-79.76733718,-79.75554955,-79.35757511,-79.34228214
dsgdb9nsd_000008,2,6,18,"6
H4 C1 O1
C -0.008288 1.390470 -0.005601
O -0.007970 -0.025045 0.020306
H 1.006583 1.815564 0.003483
H -0.546575 1.799170 -0.873901
H -0.522889 1.725552 0.899073
H 0.441420 -0.333544 -0.771521","6

C 0.636466 -0.067148 2.4e-05
O -0.70794 0.131709 2.2e-05
H 1.054003 0.574698 0.83043
H 0.976814 -1.100832 0.000155
H 1.053829 0.574335 -0.830804
H -1.23992 -0.698983 -0.000102
",-115.679136,-115.571061,0.051208,-115.347906,-115.3381961,-115.3498795,-115.730344,-115.731576,-115.7418511,-115.300839,-115.1712411,0.047067,-115.6906431,-115.680368,-115.3028125,-115.2911291
dsgdb9nsd_000009,3,7,22,"7
H4 C3
C -0.017821 1.464358 0.010094
C 0.002088 0.009508 0.002012
C 0.018341 -1.191805 -0.004505
H 0.997822 1.874253 0.002606
H -0.542204 1.858012 -0.867212
H -0.525333 1.848344 0.901481
H 0.032317 -2.253148 -0.010260","7

C 1.228264 -0.001113 0.013917
C -0.184381 -0.001228 0.018261
C -1.430727 0.000224 -0.002574
H 1.646452 -0.931003 0.41966
H 1.537166 0.03946 -1.058688
H 1.643229 0.903059 0.479185
H -2.505784 0.001186 -0.017785
",-116.609549,-116.459841,0.05541,-116.300996,-116.2774132,-116.3022219,-116.664959,-116.6503064,-116.6726459,-116.24967,-116.0792151,0.051326,-116.6172359,-116.5948964,-116.2508959,-116.2260872
dsgdb9nsd_000010,3,6,22,"6
H3 C2 N1
C -0.017886 1.467128 0.010113
C 0.001738 0.010353 0.002076
N 0.017652 -1.144529 -0.004204
H 1.002029 1.860899 0.002454
H -0.543988 1.844799 -0.870755
H -0.527078 1.835182 0.904863","6

C -1.160628 0.020845 0.000475
C 0.240742 0.016254 0.000549
N 1.449408 -0.006477 -0.000188
H -1.514182 -0.596766 -0.863487
H -1.517308 -0.605542 0.855876
H -1.595054 1.02505 0.002778
",-132.71815,-132.564533,0.045286,-132.330428,-132.3092451,-132.3317545,-132.763436,-132.7508801,-132.7703611,-132.290794,-132.1170404,0.039634,-132.7250751,-132.7055941,-132.2921205,-132.2696111
dsgdb9nsd_000011,3,7,24,"7
H4 C2 O1
C -0.002945 1.509914 0.008673
C 0.026083 0.003276 -0.037459
O 0.942288 -0.655070 -0.456826
H 0.922788 1.926342 -0.391466
H -0.862015 1.878525 -0.564795
H -0.150506 1.843934 1.042891
H -0.894430 -0.486434 0.357749","7

C 1.179109 -0.151571 2e-06
C -0.232364 0.393351 1e-06
O -1.224366 -0.281546 0.0
H 1.174884 -1.240545 7.1e-05
H 1.663315 0.270866 -0.891701
H 1.663369 0.270995 0.891613
H -0.387112 1.500377 -3e-06
",-153.787612,-153.623225,0.055355,-153.479531,-153.4634403,-153.4820416,-153.842967,-153.835478,-153.8537853,-153.426684,-153.2478503,0.052847,-153.7984303,-153.780123,-153.4291946,-153.4105933
